date,forecast_best,product_id
2025-09-04,79.266136,BEV017
2025-09-05,79.22908,BEV017
2025-09-06,78.963715,BEV017
2025-09-07,78.86622,BEV017
2025-09-08,78.66683,BEV017
2025-09-09,78.630356,BEV017
2025-09-10,78.19825,BEV017
2025-09-11,78.21131,BEV017
2025-09-12,78.193756,BEV017
2025-09-13,78.178314,BEV017
2025-09-14,78.1669,BEV017
2025-09-15,78.15768,BEV017
2025-09-16,78.151306,BEV017
2025-09-17,78.14608,BEV017
2025-09-18,78.14517,BEV017
2025-09-19,78.14425,BEV017
2025-09-20,78.14359,BEV017
2025-09-21,78.14314,BEV017
2025-09-22,78.142845,BEV017
2025-09-23,78.14266,BEV017
2025-09-24,78.142555,BEV017
2025-09-25,78.14251,BEV017
2025-09-26,78.14247,BEV017
2025-09-27,78.14245,BEV017
2025-09-28,78.14243,BEV017
2025-09-29,78.142426,BEV017
2025-09-30,78.142426,BEV017
2025-10-01,78.14241,BEV017
2025-10-02,78.14241,BEV017
2025-10-03,78.14241,BEV017
